ID,DDT_R2,DDT_logK
DNS0609,93.08137376,-3.346781082
DNS0610,81.70222541,-2.348875914
DNS0611,85.22786399,-3.213735121
DNS0612,75.02326733,-0.561185147
DNS0614,95.04532998,-2.94944324
DNS0616,95.38785439,-1.644232436
DNS0617,79.05412274,-2.838360941
DNS0619,92.42473071,-1.632984475
DNS0620,35.03720616,-4.730074801
DNS0621,95.3177207,-2.283009719
DNS0622,98.66275557,-1.959647206
DNS0623,.,.
DNS0624,95.34385898,-2.792044458
DNS0625,83.77749566,-2.956009152
DNS0626,59.69328537,-3.460325184
DNS0627,73.24882368,-2.790327925
DNS0628,91.71629049,-2.351959018
DNS0629,97.88947571,-2.597247095
DNS0630,94.6568686,-1.721411632
DNS0631,92.04376832,-1.710708279
DNS0632,94.7737976,-0.845251753
DNS0633,82.37713269,-2.344814387
DNS0634,80.21881671,-3.277501402
DNS0635,50,-4.729691785
DNS0636,88.59402456,-1.916581995
DNS0637,37.05430551,-3.831319541
DNS0638,74.70151788,-3.14203921
DNS0639,81.11076776,-2.712454933
DNS0640,83.3738529,-1.734976832
DNS0641,96.27616806,-0.988162853
DNS0642,95.26408163,-1.611355359
DNS0643,97.28107877,-2.162866233
DNS0644,92.41666721,-2.369014093
DNS0645,95.23760958,-1.463091869
DNS0646,33.91317911,.
DNS0647,92.53604519,-1.473737275
DNS0648,92.08909928,-2.050020179
DNS0649,97.25425066,-1.50031087
DNS0651,99.2281607,-2.186500986
DNS0652,66.8709073,-3.495803803
DNS0653,96.02136088,-1.830076601
DNS0654,89.01800205,-2.665320311
DNS0655,99.09800059,-2.569592453
DNS0656,92.58615496,-2.156357666
DNS0658,90.46561652,-1.803532771
DNS0659,97.48508213,-1.378444129
DNS0660,95.34101595,-3.782488925
DNS0661,94.98864462,-3.126814075
DNS0662,83.84259303,-3.230961712
DNS0663,92.77827166,-3.671884756
DNS0665,84.01641668,-2.514935821
DNS0666,85.22252244,-2.981875197
DNS0667,95.06711953,-2.311709913
DNS0668,95.0565905,-2.064897726
DNS0669,95.89306811,-2.191584203
DNS0670,68.38605452,-3.691217286
DNS0671,86.41257103,-2.552481561
DNS0672,92.22686095,-2.683396408
DNS0673,79.38764307,-2.586990574
DNS0674,94.72769314,-1.934540826
DNS0675,49.44917167,-3.256480556
DNS0676,97.15134356,-1.999455959
DNS0677,90.32051243,-2.477119437
DNS0678,86.37297277,-2.880770882
DNS0679,89.4341813,-2.400045367
DNS0681,90.33415446,-2.466121499
DNS0682,80.63666875,-2.625773553
